Series_Title,genre
The Shawshank Redemption,drama
The Godfather,"crime, drama"
The Dark Knight,"action, crime, drama"
The Godfather: Part II,"crime, drama"
12 Angry Men,"crime, drama"
The Lord of the Rings: The Return of the King,"action, adventure, drama"
Pulp Fiction,"crime, drama"
Schindler's List,"biography, drama, history"
Inception,"action, adventure, sci-fi"
Fight Club,drama
The Lord of the Rings: The Fellowship of the Ring,"action, adventure, drama"
Forrest Gump,"drama, romance"
"Il buono, il brutto, il cattivo",western
The Lord of the Rings: The Two Towers,"action, adventure, drama"
The Matrix,"action, sci-fi"
Goodfellas,"biography, crime, drama"
Star wars: Episode V - The Empire Strikes Back,"action, adventure, fantasy"
One Flew Over the Cuckoo's Nest,drama
Hamilton,"biography, drama, history"
Gisaengchung,"comedy, drama, thriller"
Soorarai Pottru,drama
Interstellar,"adventure, drama, sci-fi"
Cidade de Deus,"crime, drama"
Sen to Chihiro no kamikakushi,"animation, adventure, family"
Saving Private Ryan,"drama, war"
The Green Mile,"crime, drama, fantasy"
La vita Ã¨ bella,"comedy, drama, romance"
Se7en,"crime, drama, Mystery"
The Silence of the Lambs,"crime, drama, thriller"
Star wars,"action, adventure, fantasy"
Seppuku,"action, drama, Mystery"
Shichinin no samurai,"action, adventure, drama"
It's a Wonderful Life,"drama, family, fantasy"
Joker,"crime, drama, thriller"
Whiplash,"drama, music"
The Intouchables,"biography, comedy, drama"
The Prestige,"drama, Mystery, sci-fi"
The Departed,"crime, drama, thriller"
The Pianist,"biography, drama, music"
Gladiator,"action, adventure, drama"
American history X,drama
The Usual Suspects,"crime, Mystery, thriller"
LÃ©on,"action, crime, drama"
The Lion King,"animation, adventure, drama"
Terminator 2: Judgment Day,"action, sci-fi"
Nuovo Cinema Paradiso,"drama, romance"
Hotaru no haka,"animation, drama, war"
Back to the Future,"adventure, comedy, sci-fi"
Once Upon a Time in the West,western
Psycho,"horror, Mystery, thriller"
Casablanca,"drama, romance, war"
Modern Times,"comedy, drama, family"
City Lights,"comedy, drama, romance"
CapharnaÃ¼m,drama
Ayla: The Daughter of war,"biography, drama, history"
Vikram Vedha,"action, crime, drama"
Kimi no na wa.,"animation, drama, fantasy"
Dangal,"action, biography, drama"
Spider-Man: Into the Spider-Verse,"animation, action, adventure"
Avengers: Endgame,"action, adventure, drama"
Avengers: Infinity war,"action, adventure, sci-fi"
Coco,"animation, adventure, family"
Django Unchained,"drama, western"
The Dark Knight Rises,"action, adventure"
3 Idiots,"comedy, drama"
Taare Zameen Par,"drama, family"
WALLÂ·E,"animation, adventure, family"
The Lives of Others,"drama, Mystery, thriller"
Oldeuboi,"action, drama, Mystery"
Memento,"Mystery, thriller"
Mononoke-hime,"animation, action, adventure"
Once Upon a Time in America,"crime, drama"
Raiders of the Lost Ark,"action, adventure"
The Shining,"drama, horror"
Apocalypse Now,"drama, Mystery, war"
Alien,"horror, sci-fi"
Anand,"drama, musical"
Tengoku to jigoku,"crime, drama, Mystery"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedy
Witness for the Prosecution,"crime, drama, Mystery"
Paths of Glory,"drama, war"
Rear Window,"Mystery, thriller"
Sunset Blvd.,"drama, film-noir"
The Great Dictator,"comedy, drama, war"
1917,"drama, thriller, war"
Tumbbad,"drama, fantasy, horror"
Andhadhun,"crime, drama, music"
Drishyam,"crime, drama, thriller"
Jagten,drama
Jodaeiye Nader az Simin,drama
Incendies,"drama, Mystery, war"
Miracle in cell NO.7,drama
Babam ve Oglum,"drama, family"
Inglourious Basterds,"adventure, drama, war"
Eternal Sunshine of the Spotless Mind,"drama, romance, sci-fi"
AmÃ©lie,"comedy, romance"
Snatch,"comedy, crime"
Requiem for a Dream,drama
American Beauty,drama
Good Will Hunting,"drama, romance"
Bacheha-Ye aseman,"drama, family, Sport"
Toy Story,"animation, adventure, comedy"
Braveheart,"biography, drama, history"
Reservoir Dogs,"crime, drama, thriller"
Full Metal Jacket,"drama, war"
Idi i smotri,"drama, thriller, war"
Aliens,"action, adventure, sci-fi"
Amadeus,"biography, drama, history"
Scarface,"crime, drama"
Star wars: Episode VI - Return of the Jedi,"action, adventure, fantasy"
Das Boot,"adventure, drama, thriller"
Taxi Driver,"crime, drama"
The Sting,"comedy, crime, drama"
A Clockwork Orange,"crime, drama, sci-fi"
2001: A Space Odyssey,"adventure, sci-fi"
Per qualche dollaro in piÃ¹,western
Lawrence of Arabia,"adventure, biography, drama"
The Apartment,"comedy, drama, romance"
North by Northwest,"adventure, Mystery, thriller"
Vertigo,"Mystery, romance, thriller"
Singin' in the Rain,"comedy, musical, romance"
Ikiru,drama
Ladri di biciclette,drama
Double Indemnity,"crime, drama, film-noir"
Citizen Kane,"drama, Mystery"
M - Eine Stadt sucht einen MÃ¶rder,"crime, Mystery, thriller"
Metropolis,"drama, sci-fi"
The Kid,"comedy, drama, family"
Chhichhore,"comedy, drama"
Uri: The Surgical Strike,"action, drama, war"
K.G.F: Chapter 1,"action, drama"
Green Book,"biography, comedy, drama"
"Three Billboards Outside Ebbing, Missouri","comedy, crime, drama"
Talvar,"crime, drama, Mystery"
Baahubali 2: The Conclusion,"action, drama"
Klaus,"animation, adventure, comedy"
Drishyam,"crime, drama, Mystery"
Queen,"adventure, comedy, drama"
Mandariinid,"drama, war"
Bhaag Milkha Bhaag,"biography, drama, Sport"
Gangs of Wasseypur,"action, comedy, crime"
Udaan,drama
Paan Singh Tomar,"action, biography, crime"
El secreto de sus ojos,"drama, Mystery, romance"
warrior,"action, drama, Sport"
Shutter Island,"Mystery, thriller"
Up,"animation, adventure, comedy"
The Wolf of Wall Street,"biography, crime, drama"
Chak De! India,"drama, family, Sport"
There Will Be Blood,drama
Pan's Labyrinth,"drama, fantasy, war"
Toy Story 3,"animation, adventure, comedy"
V for Vendetta,"action, drama, sci-fi"
Rang De Basanti,"comedy, crime, drama"
Black,drama
Batman Begins,"action, adventure"
"Swades: We, the People",drama
Der Untergang,"biography, drama, history"
Hauru no ugoku shiro,"animation, adventure, family"
A Beautiful Mind,"biography, drama"
Hera Pheri,"action, comedy, crime"
"Lock, Stock and Two Smoking Barrels","action, comedy, crime"
L.A. Confidential,"crime, drama, Mystery"
Eskiya,"crime, drama, thriller"
Heat,"crime, drama, thriller"
Casino,"crime, drama"
Andaz Apna Apna,"action, comedy, romance"
Unforgiven,"drama, western"
Indiana Jones and the Last Crusade,"action, adventure"
Dom za vesanje,"comedy, crime, drama"
Tonari no Totoro,"animation, family, fantasy"
Die Hard,"action, thriller"
Ran,"action, drama, war"
Raging Bull,"biography, drama, Sport"
Stalker,"drama, sci-fi"
HÃ¶stsonaten,"drama, music"
The Message,"biography, drama, history"
Sholay,"action, adventure, comedy"
Monty Python and the Holy Grail,"adventure, comedy, fantasy"
The Great Escape,"adventure, drama, history"
To Kill a Mockingbird,"crime, drama"
YÃ´jinbÃ´,"action, drama, thriller"
Judgment at Nuremberg,"drama, war"
Some Like It Hot,"comedy, music, romance"
SmultronstÃ¤llet,"drama, romance"
Det sjunde inseglet,"drama, fantasy, history"
Du rififi chez les hommes,"crime, drama, thriller"
Dial M for Murder,"crime, thriller"
TÃ´kyÃ´ monogatari,drama
RashÃ´mon,"crime, drama, Mystery"
All About Eve,drama
The Treasure of the Sierra Madre,"adventure, drama, western"
To Be or Not to Be,"comedy, war"
The Gold Rush,"adventure, comedy, drama"
Sherlock Jr.,"action, comedy, romance"
Portrait de la jeune fille en feu,"drama, romance"
Pink,"drama, thriller"
Koe no katachi,"animation, drama, family"
Contratiempo,"crime, drama, Mystery"
Ah-ga-ssi,"drama, romance, thriller"
Mommy,drama
Haider,"action, crime, drama"
Logan,"action, drama, sci-fi"
Room,"drama, thriller"
Relatos salvajes,"comedy, drama, thriller"
Soul,"animation, adventure, comedy"
Kis Uykusu,drama
PK,"comedy, drama, musical"
OMG: Oh My God!,"comedy, drama, fantasy"
The Grand Budapest Hotel,"adventure, comedy, crime"
Gone Girl,"drama, Mystery, thriller"
Ã”kami kodomo no Ame to Yuki,"animation, drama, fantasy"
Hacksaw Ridge,"biography, drama, history"
Inside Out,"animation, adventure, comedy"
Barfi!,"comedy, drama, romance"
12 Years a Slave,"biography, drama, history"
Rush,"action, biography, drama"
Ford v Ferrari,"action, biography, drama"
Spotlight,"biography, crime, drama"
Song of the Sea,"animation, adventure, drama"
Kahaani,"Mystery, thriller"
Zindagi Na Milegi Dobara,"comedy, drama"
Prisoners,"crime, drama, Mystery"
Mad Max: Fury Road,"action, adventure, sci-fi"
A Wednesday,"action, crime, drama"
Gran Torino,drama
Harry Potter and the Deathly Hallows: Part 2,"adventure, drama, fantasy"
Okuribito,"drama, music"
Hachi: A Dog's Tale,"biography, drama, family"
Mary and Max,"animation, comedy, drama"
How to Train Your Dragon,"animation, action, adventure"
Into the Wild,"adventure, biography, drama"
No Country for Old Men,"crime, drama, thriller"
Lage Raho Munna Bhai,"comedy, drama, romance"
Million Dollar Baby,"drama, Sport"
Hotel Rwanda,"biography, drama, history"
Taegukgi hwinalrimyeo,"action, drama, war"
Before Sunset,"drama, romance"
Munna Bhai M.B.B.S.,"comedy, drama, musical"
Salinui chueok,"crime, drama, Mystery"
Dil Chahta Hai,"comedy, drama, romance"
Kill Bill: Vol. 1,"action, crime, drama"
Finding Nemo,"animation, adventure, comedy"
Catch Me If You Can,"biography, crime, drama"
Amores perros,"drama, thriller"
"Monsters, Inc.","animation, adventure, comedy"
"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni","animation, action, drama"
